plu_code,button_text,button_text_short,receipt_name,barcode,color_code,price,vat_level,product_groups
0403,Wallu 4cl,Text 1,Wallu 4cl,,#006335,5.00,25.50,Alkoholijuomat
0212,Bailey's 2cl,Bailey's,Bailey's The Original Irish Cream 17%,,#006335,3.00,25.50,Alkoholijuomat
0343,Pernod 2cl,Text 1,Pernod 2cl,,#006335,3.00,25.50,Alkoholijuomat
0154,Breezer Lime pullo,"Breezer Lime 4% pullo 0,275L","Breezer Lime 4% pullo 0,275L",,#449c37,8.00,25.50,Alkoholijuomat
0339,Bacardi 4cl,Text 1,Bacardi Rum,,#006335,6.00,25.50,Alkoholijuomat
0340,Konjakki 4cl,Text 1,Konjakki,,#006335,7.00,25.50,Alkoholijuomat
0400,Salmari 4cl,Text 1,Salmari 4cl,,#006335,6.00,25.50,Alkoholijuomat
0401,Hedari 4cl,Text 1,Hedari 4cl,,#006335,6.00,25.50,Alkoholijuomat
0402,Laku 4cl,Text 1,Laku 4cl,,#006335,6.00,25.50,Alkoholijuomat
0300,4cl,Kossu,Koskenkorvan Viina 4cl 38%,,#006335,6.00,25.50,Alkoholijuomat
0331,Jekku 4cl,Text 1,Jägermeister,,#006335,6.00,25.50,Alkoholijuomat
0008,"5% 0,33l pullo","Carlsberg 5% 0,33l pullo","Carlsberg 5% 0,33l pullo",,#449c37,0.00,25.50,Alkoholijuomat
0302,Jallu 4cl,Jallu,Jaloviina 4cl,,#006335,6.00,25.50,Alkoholijuomat
0303,Jaloviina 2cl,Text 1,Jaloviina 2cl,,#006335,3.00,25.50,Alkoholijuomat
0050,"0,4l tuoppi","Koff Long Drink 5,5% 0,4l tuoppi","Koff Long Drink 5,5% 0,4l tuoppi",,#449c37,7.70,25.50,Alkoholijuomat
0052,"0,33l pullo","Hartwall Original Long drink 5,5% 0,33l pullo","Hartwall Original Long drink 5,5% 0,33l pullo",,#449c37,7.00,25.50,Alkoholijuomat
0010,"0,0% tölkki 0,33L","Karhu 0,0% tölkki 0,33L","Karhu 0,0% tölkki 0,33L",,#449c37,5.50,25.50,Alkoholijuomat
